id,name,body,lng,lat,etc
119,檜佐陶工房,,140.257082,36.37064,0
120,南指原観光いちご園,,140.2229426,36.3454975,0
121,笠間市 いこいの家はなさか,,140.2925458,36.3348749,0
122,芸術の森公園（バス）,,140.2618,36.37428,0
123,笠間駅前（バス）,,140.2466,36.37355,0
124,やきもの通り（バス）,,140.2578,36.37005,0
125,稲荷神社前（バス）,,140.2538,36.38491,0
126,笠間手越（高速バス）,,140.275,36.35454,0
127,笠間ショッピングセンター（バス）,,140.2508,36.39219,0
128,友部駅,,140.306054,36.350484,0
129,民芸の里駐車場,,140.2605468,36.3699886,0
130,笠間駅前駐車場,,140.2470955,36.3732454,0
131,笠間芸術の森公園 東駐車場,,140.2692992,36.3717015,0
132,笠間市営荒町駐車場,,140.250747,36.383755,0
133,工芸の丘駐車場,,140.2596992,36.373092,0
134,笠間芸術の森公園北ゲート駐車場,,140.261148,36.3743313,0
135,笹目駐車場,,140.2536307,36.383646,0
136,大一駐車場,,140.254472,36.384472,0
137,笠間芸術の森公園南ゲート駐車場,,140.2621508,36.3707645,0
138,公営笠間稲荷駐車場,,140.259096,36.384805,0
139,笠間芸術の森公園 インフォメーションセンター＆レンタサイクル,,140.2632344,36.3738695,0
140,笠間駅前観光案内＆レンタサイクル,,140.246401,36.373292,0
141,ワンズレンタカー友部駅前店,,140.307968,36.348051,0
142,かさクル,,140.2514032,36.391287,0
143,ホテル イオ アルフェラッツ,,140.259666,36.376409,0
144,シティーホテル友部,,140.319642,36.326161,0
145,いなみ屋旅館,,140.2455057,36.3740026,0
146,笠間市役所 あたご天狗の森スカイロッジ,,140.2499786,36.2890079,0
147,割烹旅館城山,,140.253944,36.387471,0
148,ビジネスホテルふじぬま,,140.303007,36.348774,0
149,友部自動車学校,,140.3195639,36.3255722,0
150,茨城県立笠間陶芸大学校,,140.260994,36.371368,0
